"CO=HC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
5n25_2,3,9227.06,9631.87,20.0,12.0,9227.06,9807.94,20.0,12.0,9228.11,9391.84,19.0,10.0,9227.06,9227.06,28.0,20.0
5n25_3,4,9780.6,9846.95,21.0,9.0,9780.6,10369.1,25.0,15.0,9783.17,10243.5,21.0,11.0,9780.6,9821.29,33.0,23.0
5n25_4,5,10426.2,10942.7,45.0,31.0,10426.2,10859.7,38.0,23.0,10426.2,11040.6,27.0,12.0,10426.2,10472.0,33.0,19.0
5n30_1,2,8116.78,8568.77,24.0,14.0,8116.78,8409.98,26.0,15.0,8115.83,8434.66,34.0,22.0,8117.42,8424.62,26.0,15.0
5n30_2,3,8503.89,8802.8,26.0,14.0,8503.89,8949.57,41.0,29.0,8502.79,8808.43,42.0,29.0,8503.89,8870.35,29.0,17.0
5n30_3,4,8909.64,9194.66,40.0,26.0,8909.64,9580.62,48.0,33.0,8910.03,9103.06,37.0,23.0,8909.64,9037.93,35.0,21.0
5n30_4,5,9275.09,9735.07,36.0,19.0,9273.89,9577.02,44.0,26.0,9272.27,9561.52,39.0,22.0,9273.89,9469.02,51.0,34.0
5n35_1,2,9015.81,9309.12,32.0,22.0,9015.81,9227.16,34.0,23.0,9013.45,9197.17,32.0,22.0,9015.81,9216.01,22.0,13.0
5n35_2,3,9458.67,9739.75,30.0,16.0,9455.29,10043.8,22.0,9.0,9454.31,9908.84,31.0,18.0,9460.04,9712.37,47.0,33.0
5n35_3,4,9867.46,10317.1,34.0,16.0,9867.94,10246.4,31.0,14.0,9865.95,10279.3,65.0,48.0,9866.82,10077.2,114.0,97.0
5n35_4,5,10275.7,10685.1,52.0,29.0,10270.8,11113.1,48.0,28.0,10276.7,10651.8,74.0,54.0,10276.7,10432.1,118.0,99.0
