"CO=LC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
3n50_2,3,4309.59,4440.01,40.0,24.0,4509.97,4621.53,49.0,33.0,4655.38,4970.64,74.0,55.0,4804.08,5127.68,37.0,18.0
3n50_3,4,4515.5,4650.07,30.0,15.0,4941.65,5236.99,63.0,45.0,5029.04,5593.2,61.0,39.0,5178.57,5469.02,56.0,34.0
3n50_4,5,4815.4,4823.05,41.0,24.0,5378.65,5636.82,60.0,41.0,5458.0,5930.14,71.0,50.0,5645.62,5856.57,162.0,133.0
4n10_1,2,1269.23,1269.23,1.0,0.0,1621.73,1621.73,1.0,0.0,1937.48,1966.59,2.0,0.0,2333.86,2369.74,2.0,0.0
4n10_2,3,1269.23,1269.23,1.0,0.0,1621.73,1621.73,2.0,0.0,1974.23,2143.49,2.0,0.0,2902.33,2902.33,4.0,0.0
4n10_3,4,1288.46,1288.46,1.0,0.0,1640.96,1640.96,1.0,0.0,1993.46,1993.46,2.0,0.0,3434.13,3434.13,6.0,0.0
4n10_4,5,1288.46,1288.46,2.0,0.0,1640.96,1640.96,2.0,0.0,1993.46,1993.46,3.0,0.0,3802.75,3802.75,5.0,0.0
4n15_1,2,1460.74,1460.74,2.0,0.0,1675.22,1760.16,2.0,0.0,1844.3,1844.3,3.0,0.0,2400.77,2707.71,5.0,1.0
4n15_2,3,1554.02,1554.02,3.0,0.0,1874.2,1953.39,3.0,0.0,2036.35,2303.29,3.0,0.0,2776.99,2921.42,7.0,3.0
4n15_3,4,1613.69,1613.69,3.0,0.0,2073.15,2073.15,3.0,0.0,2311.48,2347.19,5.0,1.0,3124.25,3236.96,14.0,7.0
4n15_4,5,1697.33,1697.33,3.0,0.0,2158.14,2249.01,4.0,0.0,2488.85,2614.54,4.0,0.0,3492.96,3576.75,28.0,19.0
4n20_1,2,2438.24,2566.51,3.0,0.0,2801.89,2876.87,6.0,2.0,2931.53,3041.39,9.0,3.0,3389.61,3870.26,19.0,12.0
4n20_2,3,2613.9,2635.7,5.0,2.0,3069.84,3192.85,4.0,1.0,3411.84,3510.65,7.0,2.0,3968.26,3989.86,18.0,11.0
4n20_3,4,2697.15,2812.18,3.0,0.0,3331.6,3382.78,7.0,3.0,3697.36,3840.14,6.0,1.0,4671.04,4803.93,29.0,20.0
4n20_4,5,2710.7,2710.7,3.0,0.0,3454.97,3454.97,5.0,0.0,3903.23,3961.02,9.0,3.0,5104.47,5220.13,28.0,18.0
4n25_1,2,2589.84,2637.67,7.0,2.0,2763.87,2946.81,11.0,4.0,2894.69,3004.85,16.0,9.0,3098.27,3167.52,12.0,4.0
4n25_2,3,2724.49,2782.37,5.0,1.0,3060.23,3080.91,11.0,4.0,3216.55,3452.53,20.0,12.0,3492.77,3572.9,12.0,2.0
4n25_3,4,2755.22,2755.22,6.0,0.0,3317.42,3378.05,14.0,7.0,3526.45,3548.9,16.0,7.0,3872.7,3921.21,31.0,19.0
4n25_4,5,2854.59,2854.59,7.0,1.0,3543.56,3623.39,16.0,8.0,3836.44,3921.94,18.0,10.0,4230.67,4282.09,30.0,17.0
4n30_1,2,2944.75,3360.23,13.0,6.0,3086.31,4273.72,14.0,7.0,3225.81,3313.14,15.0,7.0,3424.12,3694.25,21.0,10.0
4n30_2,3,3251.16,3368.14,20.0,12.0,3442.49,3947.13,16.0,8.0,3529.49,3942.8,16.0,7.0,3752.69,4030.94,25.0,13.0
4n30_3,4,3425.96,3474.77,9.0,3.0,3808.81,4113.33,15.0,6.0,3966.3,4663.43,22.0,12.0,4208.68,4313.89,30.0,17.0
