Instance  (n=10),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,tHGS,BST,CostAvg,Gapb,GapAvg
U_RC_N25_Q38_T9,4664.0,0,3231.86,1800,2815.71,2899.55,7199.0,2899.55,,2920.34,14011.0,10609.0,2959.06,0.72,2.05
U_RC_N25_Q38_T12,3401.56,0,2111.68,1800,1749.59,1831.33,7199.0,1831.33,,1852.48,22725.0,11814.0,1881.14,1.15,2.72
Instance   (n=50),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,Gapb,tHGS,BST,CostAvg,GapAvg
R_C_N50_Q8_T6,44692.2,0,-,2400,32347.7,-,7193.0,44692.2,,32779.6,-26.65,18000.0,11717.0,32779.6,-26.65
R_C_N50_Q8_T9,110306.0,0,-,2400,83448.8,-,7192.0,110306.0,,83840.8,-23.99,18001.0,1529.0,84109.93,-23.75
R_C_N50_Q8_T12,184403.0,0,-,2400,117340.0,175306.00,7196.0,175306.0,,118002.0,-32.69,18004.0,7635.0,118207.57,-32.57
R_C_N50_Q18_T6,36146.5,0,-,2400,23041.8,-,7195.0,36146.5,,23683.9,-34.48,16918.0,7719.0,23780.98,-34.21
R_C_N50_Q18_T9,45238.8,0,-,2400,32299.3,-,7190.0,45238.8,,33116.1,-26.8,7204.0,2865.0,33290.47,-26.41
R_C_N50_Q18_T12,79602.8,0,-,2400,62552.5,-,7192.0,79602.8,,64231.2,-19.31,18014.0,2443.0,65014.15,-18.33
R_C_N50_Q38_T6,23797.2,0,-,2400,11096.8,13255.00,7195.0,13255.0,,11375.6,-14.18,18000.0,17170.0,11434.23,-13.74
R_C_N50_Q38_T9,27925.8,0,-,2400,17947.5,-,7192.0,27925.8,,18833.2,-32.56,18005.0,17512.0,18950.47,-32.14
R_C_N50_Q38_T12,54763.9,0,-,2400,35803.6,-,7191.0,54763.9,,37579.6,-31.38,18007.0,8887.0,37760.73,-31.05
U_C_N50_Q8_T6,13007.2,0,-,2400,9892.0,10674.90,7199.0,10674.9,,10081.6,-5.56,7200.0,660.0,10099.45,-5.39
U_C_N50_Q8_T9,28165.3,0,-,2400,20447.7,-,7193.0,28165.3,,20594.3,-26.88,18005.0,15933.0,20641.71,-26.71
U_C_N50_Q8_T12,35976.2,0,-,2400,23746.3,-,7198.0,35976.2,,23918.1,-33.52,18010.0,17697.0,23946.53,-33.44
U_C_N50_Q18_T6,9711.41,0,-,2400,6975.62,-,7193.0,9711.41,,7177.18,-26.1,15227.0,14104.0,7204.48,-25.81
U_C_N50_Q18_T9,9689.91,0,-,2400,7568.99,-,7189.0,9689.91,,7939.41,-18.07,18002.0,15649.0,7973.5,-17.71
U_C_N50_Q18_T12,15197.8,0,-,2400,12167.4,-,7190.0,15197.8,,12713.1,-16.35,18004.0,7605.0,12751.92,-16.09
U_C_N50_Q38_T6,6116.38,0,-,2400,3346.83,-,7193.0,6116.38,,3551.76,-41.93,10028.0,5264.0,3598.88,-41.16
U_C_N50_Q38_T9,9128.5,0,-,2400,4620.78,-,7193.0,9128.5,,4805.39,-47.36,18004.0,16216.0,4839.39,-46.99
U_C_N50_Q38_T12,13589.2,0,-,2400,8571.61,-,7190.0,13589.2,,9247.78,-31.95,7209.0,1397.0,9366.57,-31.07
R_R_N50_Q8_T6,50979.3,0,-,2400,35542.7,-,7191.0,50979.3,,36237.1,-28.92,12378.0,11387.0,36237.1,-28.92
R_R_N50_Q8_T9,101604.0,0,-,2400,72789.6,78321.40,7198.0,78321.4,,73603.8,-6.02,15928.0,15373.0,73732.68,-5.86
R_R_N50_Q8_T12,174307.0,0,-,2400,111912.0,160103.00,7193.0,160103.0,,113229.0,-29.28,18002.0,17527.0,113477.04,-29.12
R_R_N50_Q18_T6,39387.9,0,-,2400,22625.8,-,7194.0,39387.9,,24299.1,-38.31,18002.0,12453.0,24697.04,-37.3
