"CO=LC,H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
4n30_3,4,8623.83,8744.59,75.0,43.0,9637.14,9896.22,225.0,189.0,10070.1,10341.4,130.0,85.0,10224.1,10253.6,215.0,163.0
4n30_4,5,8919.36,9136.78,68.0,40.0,10365.9,10550.7,165.0,123.0,10967.6,10989.4,253.0,207.0,11571.9,11654.8,217.0,151.0
4n35_1,2,7846.05,8719.27,181.0,145.0,8228.64,8871.91,185.0,148.0,8376.3,8632.96,240.0,198.0,8530.61,8561.08,377.0,335.0
4n35_2,3,8862.55,9316.62,231.0,192.0,9449.27,9858.03,300.0,255.0,9687.24,10381.1,243.0,189.0,9992.04,10037.8,219.0,154.0
4n35_3,4,9711.88,10173.1,163.0,124.0,10477.4,11004.8,331.0,288.0,10960.8,11917.6,239.0,187.0,11326.1,11668.0,471.0,401.0
4n35_4,5,10269.6,10269.6,152.0,129.0,11631.9,11975.4,391.0,351.0,12197.5,13045.8,338.0,281.0,12946.0,13127.5,412.0,337.0
4n40_1,2,7713.55,8455.59,197.0,161.0,8335.26,8433.0,123.0,85.0,8667.59,8983.54,175.0,126.0,9086.39,9086.39,408.0,363.0
4n40_2,3,8451.09,8549.22,258.0,211.0,9055.82,9955.2,207.0,155.0,9500.02,9609.75,211.0,156.0,10098.4,10179.7,323.0,255.0
4n40_3,4,9092.35,9383.8,191.0,145.0,9992.12,10134.1,292.0,245.0,10414.7,10502.2,324.0,258.0,11154.0,11404.9,512.0,440.0
4n40_4,5,9600.54,9783.64,194.0,148.0,10763.5,11028.6,346.0,286.0,11444.0,11806.2,321.0,252.0,12254.6,12373.8,533.0,440.0
4n45_1,2,9816.2,10525.3,333.0,286.0,10080.6,11020.9,191.0,135.0,10212.5,10840.6,420.0,360.0,10360.6,10648.6,366.0,303.0
4n45_2,3,10867.0,11384.5,155.0,95.0,11295.6,11637.7,288.0,231.0,11556.7,12193.8,243.0,173.0,11798.7,11808.9,423.0,348.0
4n45_3,4,12211.8,12980.0,366.0,310.0,12855.7,13702.4,506.0,451.0,13063.7,13365.2,486.0,406.0,13422.5,13484.9,466.0,364.0
4n45_4,5,13314.9,13670.1,262.0,209.0,14186.6,14320.2,369.0,303.0,14635.5,14881.4,548.0,472.0,15272.1,15406.8,670.0,549.0
4n50_1,2,10300.8,10379.3,252.0,197.0,10450.1,10646.9,396.0,339.0,10563.3,10771.2,386.0,322.0,10788.5,10904.4,388.0,326.0
4n50_2,3,11968.3,12361.4,466.0,398.0,12511.0,12666.2,329.0,248.0,12680.8,12862.7,364.0,270.0,12756.2,13001.5,569.0,476.0
4n50_3,4,13662.2,13761.1,408.0,343.0,14370.4,14737.4,422.0,342.0,14833.3,14985.9,234.0,126.0,15141.2,15200.7,659.0,534.0
4n50_4,5,14823.5,14823.5,298.0,259.0,16111.8,16964.1,341.0,262.0,16894.9,17169.1,385.0,282.0,17117.4,17808.3,848.0,700.0
5n10_1,2,4304.67,4370.12,16.0,6.0,4661.14,4707.39,23.0,12.0,4839.17,4910.67,19.0,6.0,5055.42,5102.59,20.0,6.0
5n10_2,3,4743.1,4800.15,19.0,7.0,5169.46,5254.75,21.0,7.0,5440.38,5538.05,40.0,21.0,5722.47,5745.55,45.0,26.0
5n10_3,4,5097.26,5159.91,14.0,1.0,5727.79,5727.97,47.0,25.0,6101.36,6129.36,64.0,39.0,6513.92,6538.47,107.0,77.0
5n10_4,5,5241.3,5403.45,16.0,1.0,6146.71,6153.05,47.0,24.0,6564.36,6565.79,73.0,46.0,7131.22,7132.32,88.0,42.0
5n15_1,2,5824.52,6255.53,17.0,5.0,6019.9,6048.21,60.0,44.0,6076.9,6139.02,31.0,15.0,6260.74,6260.74,27.0,9.0
5n15_2,3,6590.14,6601.72,26.0,11.0,7247.38,7454.56,83.0,66.0,7372.0,7424.24,69.0,49.0,7523.85,7554.93,71.0,46.0
5n15_3,4,7013.24,7013.24,20.0,7.0,8324.61,8391.25,62.0,46.0,8532.38,8619.35,98.0,74.0,8857.45,8911.8,217.0,182.0
5n15_4,5,7313.71,7313.71,20.0,6.0,9159.3,9165.27,45.0,24.0,9904.7,9905.2,77.0,52.0,10289.3,10384.5,186.0,142.0
5n20_1,2,7560.47,7958.9,69.0,50.0,8006.86,8027.99,142.0,118.0,8107.46,8248.84,56.0,31.0,8416.34,8442.9,108.0,76.0
5n20_2,3,8888.06,9216.12,118.0,98.0,9760.82,10047.7,94.0,71.0,10126.8,10241.8,65.0,36.0,10264.0,10387.3,238.0,196.0
5n20_3,4,9825.23,9851.11,69.0,51.0,11258.8,11637.9,82.0,60.0,12021.5,12179.9,99.0,68.0,12328.6,12476.9,275.0,223.0
