Detailed results on small-scaled data with CO=HC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
3n25_3,19010.79,19455.13,2.34,97.86,19088.9,0.41,938,19010.79,19063.76,0.28,19052.91,0.22,,19010.8,0.0,2121.0,2121.0,19024.36,0.07
3n25_4,20742.48,22049.33,6.30,116.98,20921.7,0.86,777,20742.48,20768.28,0.12,20818.59,0.37,,20758.4,0.08,1499.0,1186.0,20791.6,0.24
3n25_5,22617.85,24277.13,7.34,184.46,23142.8,2.32,665,22617.85,22674.97,0.25,22701.24,0.37,,22613.6,-0.02,4013.0,4013.0,22703.85,0.38
4n25_2,15289.98,15849.17,3.66,160.9,15306.7,0.11,132,15289.98,15292.88,0.02,15289.98,0.0,,15290.0,0.0,311.0,311.0,15290.0,0.0
4n25_3,16223.57,16901.27,4.18,140.22,16308.4,0.52,689,16223.57,16415.22,1.18,16319.1,0.59,,16229.9,0.04,1957.0,1957.0,16240.54,0.1
4n25_4,17202.04,17630.27,2.49,124.77,17337,0.78,823,17202.04,17202.04,0.0,17302.39,0.58,,17202.0,0.0,1863.0,1395.0,17205.65,0.02
4n25_5,18115.47,18565.67,2.49,94.71,18341.9,1.25,833,18115.47,18169.0,0.30,18144.49,0.16,,18118.0,0.01,3507.0,3507.0,18154.97,0.22
5n25_2,18141.67,18569.62,2.36,161.55,18172.8,0.17,398,18141.67,18141.67,0.0,18141.67,0.0,,18141.7,0.0,818.0,818.0,18142.67,0.01
5n25_3,19827.4,20597.22,3.88,144,20036.7,1.06,945,19827.4,19928.4,0.5,19902.4,0.4,,19831.7,0.02,1302.0,1104.0,19853.33,0.13
5n25_4,21837.28,22730.92,4.09,114.21,21901,0.29,894,21837.28,21862.72,0.12,21936.75,0.46,,21893.5,0.26,1934.0,1658.0,21932.53,0.44
5n25_5,23706.98,24849.02,4.82,127.84,23981.3,1.16,940,23706.98,23706.98,0.0,23819.58,0.47,,23787.8,0.34,1654.0,1315.0,23858.14,0.64
1n30_2,21513.96,21881.18,1.71,316,21557.3,0.20,479,21513.96,21513.96,0.0,21529.82,0.07,,21514.0,0.0,1552.0,1552.0,21516.46,0.01
1n30_3,22812.04,23117.58,1.34,246.87,23026.9,0.94,737,22812.04,22887.43,0.33,22870.91,0.26,,22828.3,0.07,2445.0,2445.0,22842.3,0.13
1n30_4,24360.19,25068.98,2.91,279.75,24764.1,1.66,917,24360.19,24603.56,1.0,24360.19,0.0,,24364.0,0.02,2574.0,2265.0,24427.92,0.28
1n30_5,25949.74,26729.38,3.00,197.45,26247.6,1.15,796,25949.74,25953.7,0.02,26039.48,0.35,,25957.5,0.03,3391.0,3008.0,26058.37,0.42
2n30_2,18716.23,18893.33,0.95,196,18876.3,0.86,688,18716.23,18827.43,0.59,18767.61,0.27,,18718.5,0.01,1704.0,1322.0,18720.42,0.02
2n30_3,19744.67,20082.83,1.71,178.45,19940.2,0.99,819,19744.67,19767.67,0.12,19795.65,0.26,,19744.5,0.0,3139.0,3139.0,19751.33,0.03
2n30_4,20854.44,21376.63,2.50,181.63,21308.1,2.18,680,20854.44,20914.75,0.29,20935.78,0.39,,20839.8,-0.07,2475.0,2193.0,20883.95,0.14
