"CO=HC, H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
4n10_2,3,10406.9,10427.2,53.0,27.0,10482.9,10558.9,64.0,41.0,10558.9,10759.45,65.0,53.0,10592.7,10592.7,51.0,24.0
4n10_3,4,11739.4,11804.9,101.0,63.0,11771.3,11804.8,105.0,69.0,11784.9,12019.44,56.0,17.0,11834.7,11843.9,72.0,33.0
4n10_4,5,12966.3,12982.8,52.0,14.0,13087.4,13160.1,184.0,136.0,13160.1,13221.06,153.0,138.0,13186.0,13207.4,190.0,131.0
4n15_1,2,10324.1,10424.8,59.0,39.0,10476.7,10987.0,78.0,59.0,10476.4,11253.97,40.0,21.0,10476.7,10477.7,51.0,32.0
4n15_2,3,11378.8,11551.7,69.0,48.0,11494.7,12143.7,80.0,57.0,11505.6,12345.01,101.0,76.0,11506.9,11694.4,138.0,113.0
4n15_3,4,12605.3,12605.9,78.0,45.0,12700.6,12970.6,111.0,75.0,12709.8,13347.95,176.0,141.0,12783.8,12915.0,54.0,22.0
4n15_4,5,13634.4,13671.6,153.0,102.0,13694.5,13918.0,200.0,149.0,13811.7,14562.84,281.0,235.0,13839.9,13948.9,190.0,138.0
4n20_1,2,14323.3,14746.8,175.0,145.0,14324.7,14599.7,98.0,69.0,14318.9,15051.85,100.0,70.0,14323.5,14663.1,182.0,151.0
4n20_2,3,16078.5,16350.8,202.0,159.0,16033.1,16543.3,216.0,182.0,16038.0,17018.62,112.0,71.0,16086.1,16086.1,215.0,190.0
4n20_3,4,17683.8,18250.5,421.0,374.0,17736.5,17896.9,134.0,92.0,17650.5,18316.89,241.0,191.0,17671.9,17763.4,198.0,147.0
4n20_4,5,19243.5,19486.5,291.0,221.0,19270.8,19423.9,190.0,122.0,19236.0,20041.31,410.0,346.0,19282.9,19392.0,341.0,286.0
4n25_1,2,15287.7,15291.1,100.0,72.0,15287.7,15287.7,46.0,22.0,15287.7,15419.75,83.0,55.0,15287.7,15289.7,46.0,18.0
4n25_2,3,16245.6,16550.2,213.0,166.0,16238.1,16523.4,122.0,80.0,16245.6,16836.65,148.0,106.0,16246.9,16292.5,218.0,176.0
4n25_3,4,17205.4,17610.4,206.0,154.0,17231.9,17369.7,178.0,120.0,17205.9,17654.14,310.0,258.0,17234.5,17249.0,227.0,177.0
4n25_4,5,18152.8,18254.4,262.0,211.0,18170.7,18438.1,470.0,413.0,18150.2,18584.46,476.0,412.0,18229.9,18379.6,180.0,119.0
4n30_1,2,16703.3,17556.1,242.0,198.0,16704.3,17261.5,116.0,71.0,16697.4,17682.97,183.0,139.0,16704.0,16769.9,170.0,126.0
4n30_2,3,17723.2,18111.1,174.0,126.0,17736.3,18127.9,246.0,190.0,17722.5,18517.24,349.0,294.0,17741.8,17823.7,196.0,146.0
4n30_3,4,18921.4,19219.7,505.0,452.0,18946.9,19152.9,214.0,155.0,18939.9,19755.15,399.0,337.0,18950.1,18999.7,268.0,206.0
4n30_4,5,20223.2,20327.7,391.0,304.0,20208.4,20319.1,342.0,258.0,20202.1,20671.84,216.0,146.0,20182.8,20277.5,426.0,355.0
4n35_1,2,18894.2,19216.5,285.0,243.0,18893.7,19361.6,396.0,350.0,18891.9,19501.2,248.0,204.0,18894.6,19101.6,401.0,355.0
4n35_2,3,20335.1,20747.6,249.0,187.0,20395.8,20463.8,356.0,294.0,20330.0,21127.42,418.0,359.0,20382.2,20509.7,213.0,147.0
4n35_3,4,21815.5,22299.7,326.0,243.0,21850.5,22146.7,315.0,234.0,21809.8,22658.84,341.0,264.0,21775.0,21976.3,595.0,515.0
4n35_4,5,23380.5,24218.5,471.0,384.0,23482.8,24049.1,496.0,396.0,23395.8,24285.86,627.0,535.0,23349.5,23660.4,309.0,226.0
4n40_1,2,20172.7,20835.0,290.0,236.0,20172.0,20828.3,265.0,213.0,20173.2,21064.87,347.0,293.0,20171.7,20495.1,234.0,182.0
4n40_2,3,21191.0,21815.1,365.0,304.0,21194.3,21488.0,355.0,291.0,21208.4,21609.95,321.0,258.0,21212.4,21279.0,277.0,212.0
