Detailed results on small-scaled data with CO=LC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
2n25_4,10924.96,11454.32,4.85,95.05,11136.2,1.93,981,10924.96,10937.16,0.11,11096.48,1.57,,10877.3,-0.44,3452.0,3452.0,10932.1,0.07
2n25_5,12393.95,13161.52,6.19,93.33,12697.8,2.45,1009,12393.95,12541.26,1.19,12466.97,0.59,,12436.2,0.34,1601.0,1293.0,12449.55,0.45
3n25_2,8522.12,9197.68,7.93,88.61,8542.3,0.24,94,8522.12,8522.12,0.0,8522.12,0.0,,8522.52,0.00,1237.0,1237.0,8534.8,0.15
3n25_3,10152.75,10865.51,7.02,136.59,10212,0.58,823,10152.75,10177.49,0.24,10202.97,0.49,,10183.2,0.30,1149.0,925.0,10192.79,0.39
3n25_4,11874.0,12580.51,5.95,107.66,12047.7,1.46,858,11874.0,11874.0,0.0,11923.11,0.41,,11904.4,0.3,2593.0,2593.0,11956.91,0.7
3n25_5,13686.09,14506.61,6.00,78.21,14140.6,3.32,672,13686.09,13772.58,0.63,13825.66,1.02,,13744.8,0.43,3100.0,2742.0,13744.8,0.43
4n25_2,7746.31,7953.92,2.68,171.47,7776.72,0.39,283,7746.31,7746.31,0.0,7746.31,0.0,,7747.63,0.02,409.0,269.0,7752.61,0.08
4n25_3,8667.67,8861.02,2.23,90.8,8861.95,2.24,733,8667.67,8776.36,1.25,8778.02,1.27,,8668.22,0.01,674.0,471.0,8685.03,0.2
4n25_4,9670.13,10044.36,3.87,94.78,9884.99,2.22,890,9670.13,9679.05,0.09,9707.3,0.38,,9654.49,-0.16,455.0,217.0,9666.71,-0.04
4n25_5,10560.59,11218.86,6.23,88.03,10780.9,2.09,681,10560.59,10624.89,0.61,10581.82,0.2,,10561.3,0.01,1651.0,1365.0,10561.3,0.01
5n25_2,8318.41,8804.13,5.84,151.95,8381.92,0.76,279,8318.41,8349.35,0.37,8349.35,0.37,,8316.39,-0.02,932.0,671.0,8344.61,0.31
5n25_3,10034.05,10788.83,7.52,127.37,10199.2,1.65,908,10034.05,10034.05,0.0,10086.11,0.52,,10025.2,-0.09,1282.0,884.0,10029.74,-0.04
5n25_4,12016.26,13005.43,8.23,107.17,12334.8,2.65,971,12016.26,12028.2,0.10,12090.72,0.62,,11995.2,-0.18,1885.0,1606.0,12073.74,0.48
5n25_5,13872.62,14902.23,7.42,105.27,14471.7,4.32,745,13872.62,13893.64,0.15,13903.9,0.23,,13888.4,0.11,4935.0,4935.0,13996.77,0.89
1n30_2,8823.88,9050.19,2.56,140.7,9384.64,6.36,387,8823.88,8828.7,0.05,8823.88,0.0,,8823.88,0.00,1644.0,1258.0,8849.34,0.29
1n30_3,10164.49,10648.54,4.76,151.47,10270.8,1.05,922,10164.49,10318.57,1.52,10231.5,0.66,,10141.0,-0.23,2347.0,2347.0,10183.14,0.18
1n30_4,11686.5,12652.94,8.27,126.98,11980,2.51,813,11686.5,11923.27,2.03,11711.53,0.21,,11694.6,0.1,5310.0,5310.0,11722.75,0.31
1n30_5,13214.47,14193.44,7.41,141.99,13567.5,2.67,858,13214.47,13425.07,1.59,13318.85,0.79,,13266.6,0.39,4681.0,4681.0,13382.93,1.27
2n30_2,8205.17,8331.83,1.54,166.83,8515.5,3.78,69,8205.17,8319.56,1.39,8300.33,1.16,,8205.17,0.00,786.0,786.0,8211.75,0.08
2n30_3,9236.74,9609.48,4.04,151.76,9453.84,2.35,657,9236.74,9248.45,0.13,9351.29,1.24,,9222.1,-0.16,1233.0,1233.0,9228.26,-0.09
2n30_4,10334.03,10834.37,4.84,122.6,10523.1,1.83,912,10334.03,10410.41,0.74,10574.35,2.33,,10349.6,0.15,4255.0,4255.0,10381.81,0.46
