Detailed results on small-scaled data with CO=HC and T=3,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,BestDIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gapb,tHGS,BST,CostAvg,GapAvg
2n35_3,9204.56,9248.09,0.47,76.61,9240.3,0.39,512.0,9204.56,9204.56,0.0,9204.56,0.0,,9204.56,0.00,141.0,24.0,9204.56,0.0
2n35_4,9610.44,9701.49,0.95,67.84,9802.39,2.0,704.0,9610.44,9610.44,0.0,9610.44,0.0,,9625.08,0.15,286.0,200.0,9656.07,0.47
2n35_5,10006.9,10059.19,0.52,65.26,10059.2,0.5,1124.0,10006.9,10019.0,0.1,10019.0,0.1,,10001.8,-0.1,433.0,226.0,10003.76,-0.03
3n35_2,11334.79,11503.81,1.49,60.22,11334.8,8.82,79.0,11334.79,11334.79,0.0,11334.79,0.0,,11334.8,0.00,110.0,8.0,11334.8,0.0
3n35_3,11881.77,11881.81,0.0,78.53,11881.8,0.00,412.0,11881.77,11881.77,0.0,11881.77,0.0,,11881.8,0.00,108.0,37.0,11881.84,0.0
3n35_4,12462.91,12462.91,0.0,80.82,12469.8,0.06,820.0,12462.95,12462.95,0.0,12462.95,0.0,,12463.0,0.00,183.0,106.0,12463.58,0.01
3n35_5,13076.11,13076.11,0.0,80.53,13121.3,0.35,819.0,13076.37,13076.37,0.0,13110.29,0.26,,13076.4,0.00,283.0,180.0,13076.51,0.0
4n35_2,8572.92,8572.92,0.0,94.27,8573.28,0.0,72.0,8573.28,8573.28,0.0,8573.28,0.0,,8573.28,0.00,103.0,12.0,8573.28,0.0
4n35_3,9143.4,9219.02,0.83,118.2,9143.4,0.0,526.0,9143.4,9143.4,0.0,9143.4,0.0,,9143.4,0.0,154.0,64.0,9143.75,0.0
4n35_4,9632.32,9632.32,0.0,93.01,9727.46,0.99,585.0,9632.54,9632.54,0.0,9632.54,0.0,,9632.54,0.00,263.0,263.0,9633.59,0.01
4n35_5,10003.08,10027.62,0.25,86.81,10004.0,0.01,758.0,10003.08,10003.08,0.0,10003.08,0.0,,10003.1,0.00,171.0,82.0,10004.04,0.01
5n35_2,9013.45,9037.17,0.26,89.62,9013.45,0.0,73.0,9013.45,9013.45,0.0,9013.45,0.0,,9013.45,0.00,100.0,19.0,9013.45,0.0
5n35_3,9454.31,9462.27,0.08,104.48,9454.31,0.0,349.0,9454.31,9454.31,0.0,9454.31,0.0,,9454.47,0.00,643.0,509.0,9458.93,0.05
5n35_4,9865.95,9954.37,0.9,102.1,10000.1,1.36,645.0,9865.95,9865.95,0.0,9865.95,0.0,,9865.95,0.00,242.0,242.0,9869.44,0.04
5n35_5,10275.7,10324.97,0.48,93.31,10275.7,0.0,830.0,10275.71,10275.71,9.73,10275.71,9.73,,10275.7,0.0,278.0,165.0,10277.93,0.02
1n40_2,10952.96,10952.96,0.0,105.32,10953.2,0.00,148.0,10953.2,10953.2,0.00,10953.2,0.00,,10953.2,0.00,140.0,39.0,11093.37,1.28
1n40_3,11516.48,11521.06,0.04,109.59,11653.9,1.19,1173.0,11516.48,11516.48,0.0,11516.48,0.0,,11516.5,0.00,171.0,100.0,11624.65,0.94
1n40_4,12014.7,12041.26,0.22,112.86,12014.7,0.0,919.0,12014.7,12014.7,0.0,12014.7,0.0,,12014.7,0.0,130.0,57.0,12037.12,0.19
1n40_5,12547.68,12678.96,1.05,105.84,12756.2,1.66,1178.0,12547.68,12551.46,0.03,12547.68,0.0,,12547.7,0.00,214.0,111.0,12555.83,0.06
2n40_2,9551.06,9560.39,0.1,149.99,9700.08,1.56,520.0,9551.06,9551.06,0.0,9551.06,0.0,,9551.06,0.00,120.0,46.0,9553.06,0.02
2n40_3,9900.51,10003.49,1.04,154.58,9906.78,0.06,155.0,9900.51,9900.51,0.0,9900.51,0.0,,9900.51,0.00,140.0,37.0,9900.51,0.0
2n40_4,10430.75,10526.49,0.92,151.49,10505.0,0.711,920.0,10430.75,10430.75,0.0,10430.75,0.0,,10430.7,-0.00,179.0,17.0,10430.7,0.0
2n40_5,10713.89,10935.89,2.07,153.61,11136.4,3.94,753.0,10713.89,10713.89,0.0,10713.89,0.0,,10715.0,0.01,697.0,697.0,10737.7,0.22
3n40_2,11087.39,11147.29,0.54,170.55,11087.4,9.02,94.0,11087.39,11087.39,0.0,11087.39,0.0,,11087.4,0.00,137.0,136.0,11087.4,0.0
