Detailed results on small-scaled data with CO=LC and T=3,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,BestDIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gapb,tHGS,BST,CostAvg,Gapavg
4n30_5,4706.75,4868.7,3.4,36.77,4811.86,2.23,788.0,4706.75,4832.79,2.68,4824.1,2.49,,4706.75,0.0,174.0,174.0,4706.75,0.0
5n30_2,3020.61,3108.35,2.90,46.82,3020.61,0.0,217.0,3020.61,3020.61,0.0,3020.61,0.0,,3020.61,0.0,82.0,82.0,3020.61,0.0
5n30_3,3393.39,3407.58,0.42,44.95,3393.39,0.0,488.0,3393.39,3393.39,0.0,3393.39,0.0,,3393.39,0.0,95.0,95.0,3393.39,0.0
5n30_4,3796.45,3815.33,0.49,45.95,3825.53,0.77,814.0,3796.45,3796.45,0.0,3796.45,0.0,,3796.45,0.0,116.0,116.0,3796.45,0.0
5n30_5,4156.9,4156.9,0.0,43.19,4272.75,2.79,695.0,4156.91,4156.91,0.00,4156.91,0.00,,4156.91,0.0,165.0,165.0,4156.91,0.0
1n35_2,3374.61,3374.61,0.0,54.95,3374.61,0.0,97.0,3374.61,3374.61,0.0,3374.61,0.0,,3374.61,0.0,98.0,98.0,3374.61,0.0
1n35_3,3857.31,3857.31,0.0,55.38,3857.31,0.0,567.0,3857.31,3857.31,0.0,3857.31,0.0,,3857.31,0.0,143.0,143.0,3857.35,0.0
1n35_4,4145.75,4155.88,0.24,57.03,4194.11,1.17,720.0,4145.75,4145.75,0.0,4145.75,0.0,,4145.75,0.0,116.0,116.0,4145.75,0.0
1n35_5,4541.69,4595.05,1.17,57.3,4541.69,0.0,595.0,4541.69,4541.69,0.0,4541.69,0.0,,4541.69,0.0,195.0,195.0,4541.69,0.0
2n35_2,3661.98,3803.4,3.86,58.89,3697.98,0.98,78.0,3661.98,3661.98,0.0,3661.98,0.0,,3661.98,0.0,88.0,88.0,3661.98,0.0
2n35_3,4029.11,4055.63,0.66,59.18,4083.96,1.36,883.0,4029.11,4029.11,0.0,4032.57,0.09,,4029.11,0.0,116.0,116.0,4029.11,0.0
2n35_4,4431.66,4517.45,1.94,53.75,4563.71,2.98,518.0,4431.66,4431.66,0.0,4431.66,0.0,,4432.7,0.02,209.0,209.0,4433.22,0.04
2n35_5,4813.95,4860.31,0.96,58.31,4873.18,1.23,712.0,4813.95,4923.61,2.28,4834.97,0.44,,4813.95,0.0,253.0,151.0,4817.09,0.07
3n35_2,3904.76,4014.48,2.81,62.5,3904.76,0.0,97.0,3904.76,3904.76,0.0,3904.76,0.0,,3904.76,0.0,81.0,81.0,3904.76,0.0
3n35_3,4446.56,4448.28,0.04,58.55,4446.56,0.0,293.0,4446.56,4446.56,0.0,4446.56,0.0,,4446.56,0.0,126.0,126.0,4446.56,0.0
3n35_4,5002.64,5002.64,0.0,55.61,5012.28,0.19,849.0,5002.64,5002.64,0.0,5002.64,0.0,,5002.64,0.0,150.0,150.0,5002.64,0.0
3n35_5,5638.92,5641.83,0.05,57.02,5639.92,0.02,878.0,5638.92,5638.92,0.0,5638.92,0.0,,5638.92,0.0,226.0,226.0,5638.92,0.0
4n35_2,3244.24,3244.24,0.0,57.54,3244.27,0.00,76.0,3244.27,3244.27,0.00,3244.27,0.00,,3244.27,0.0,82.0,82.0,3244.27,0.0
4n35_3,3813.93,3813.93,0.0,54.91,3813.93,0.0,603.0,3813.93,3813.93,0.0,3813.93,0.0,,3813.93,0.0,148.0,19.0,3813.93,0.0
4n35_4,4305.23,4305.23,0.0,57.18,4391.07,1.99,782.0,4305.25,4305.25,0.00,4307.57,0.05,,4305.25,0.0,161.0,161.0,4305.25,0.0
4n35_5,4667.63,4698.45,0.66,54.63,4673.15,0.12,977.0,4667.63,4667.63,0.0,4667.63,0.0,,4667.63,0.0,145.0,145.0,4667.63,0.0
5n35_2,3382.98,3424.17,1.22,62.56,3382.98,0.0,93.0,3382.98,3382.98,0.0,3382.98,0.0,,3382.98,0.0,74.0,74.0,3382.98,0.0
5n35_3,3823.98,3857.69,0.88,62.98,3851.94,0.73,530.0,3823.98,3823.98,0.0,3823.98,0.0,,3823.98,0.0,121.0,121.0,3823.98,0.0
5n35_4,4229.9,4344.06,2.70,60.26,4296.1,1.6,686.0,4229.9,4229.9,0.0,4229.9,0.0,,4229.9,0.0,161.0,161.0,4231.38,0.03
5n35_5,4634.82,4726.15,1.97,62.9,4653.82,0.41,1104.0,4634.82,4634.82,0.0,4634.82,0.0,,4634.82,0.0,203.0,99.0,4635.53,0.02
1n40_2,3725.41,3725.41,0.0,74.71,3725.44,0.00,159.0,3725.44,3725.44,0.00,3725.44,0.00,,3725.44,0.0,104.0,104.0,3824.76,2.67
1n40_3,4265.76,4307.06,0.97,75.02,4265.76,0.0,721.0,4265.76,4265.76,0.0,4265.76,0.0,,4265.76,0.0,172.0,32.0,4296.56,0.72
1n40_4,4766.58,4824.53,1.22,76.36,4982.83,4.54,1166.0,4766.58,4766.58,0.0,4766.58,0.0,,4766.58,0.0,224.0,224.0,4778.91,0.26
1n40_5,5287.12,5445.11,2.99,74.78,5384.48,1.84,1151.0,5287.12,5318.62,0.6,5287.12,0.0,,5287.12,0.0,271.0,171.0,5290.22,0.06
2n40_2,3967.73,4004.64,0.93,84.57,3978.58,0.27,223.0,3967.73,3967.73,0.0,3978.58,0.27,,3967.73,0.0,202.0,202.0,3968.55,0.02
2n40_3,4331.99,4436.24,2.41,94.55,4442.25,2.55,726.0,4331.99,4331.99,0.0,4331.99,0.0,,4331.99,0.0,130.0,130.0,4331.99,0.0
2n40_4,4853.22,4994.02,2.90,116.82,4934.72,1.68,642.0,4853.22,4894.77,0.86,4906.17,1.09,,4853.33,0.0,389.0,389.0,4865.84,0.26
2n40_5,5142.73,5357.49,4.18,102.01,5182.62,0.78,562.0,5142.73,5142.73,0.0,5142.73,0.0,,5142.73,0.0,472.0,251.0,5145.43,0.05
