Detailed results on largel-scaled data with CO=LC and T=6,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,CostAvg,GapAvg
4n200_4,24185.57,25169.36,4.07,5747.95,27618.4,14.19,896.0,24185.57,26093.87,7.89,24185.57,0.0,,24290.5,0.43,7200.0,24414.66,0.95
4n200_5,25282.77,25843.36,2.22,4809.04,28626.5,13.23,643.0,25282.77,25649.68,1.45,25282.77,0.0,,25061.6,-0.87,9687.0,25407.74,0.49
5n200_2,23000.7,23663.56,2.88,9777.8,25647.7,11.5,372.0,23000.7,23079.62,0.34,23000.7,0.0,,22870.8,-0.56,7200.0,22968.46,-0.14
5n200_3,23714.28,24668.36,4.02,8348.61,27371.1,15.42,788.0,23714.28,25233.91,6.41,23714.28,0.0,,23766.2,0.22,9165.0,24009.94,1.25
5n200_4,25126.66,25732.06,2.41,6019.46,28115.0,11.89,1010.0,25126.66,25881.56,3.00,25126.66,0.0,,25163.3,0.15,8484.0,25391.34,1.05
5n200_5,26320.84,27129.76,3.07,7546.95,29613.8,12.51,1190.0,26320.84,27294.54,3.70,26320.84,0.0,,26615.3,1.12,11102.0,26824.82,1.91
6n200_2,22729.84,23513.01,3.45,11469.8,26229.4,15.40,155.0,22729.84,22936.52,0.91,22729.84,0.0,,22428.2,-1.33,7200.0,22722.94,-0.03
6n200_3,23446.79,24552.51,4.72,6835.85,27137.8,15.74,738.0,23446.79,24118.6,2.87,23446.79,0.0,,23448.1,0.01,7200.0,23650.64,0.87
6n200_4,24532.68,25752.11,4.97,5870.15,29562.9,20.50,445.0,24532.68,25085.92,2.26,24532.68,0.0,,24598.5,0.27,20281.0,24919.82,1.58
6n200_5,25987.12,27444.21,5.61,6221.48,30202.2,16.22,702.0,25987.12,27698.01,6.58,25987.12,0.0,,26179.0,0.74,13317.0,26372.7,1.48
7n200_2,22432.22,23211.44,3.47,20027.9,25111.2,11.94,586.0,22432.22,23328.91,4.00,22432.22,0.0,,22378.6,-0.24,7200.0,22420.82,-0.05
